CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5370085.01,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0085.01,06105950085.01
5370085.02,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0085.02,06105950085.02
5370085.03,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0085.03,06105950085.03
5370086.00,3525005,Hamilton,0610,Hamilton,595,Stoney Creek,0086.00,06105950086.00
5370100.01,3525005,Hamilton,0610,Hamilton,945,Glanbrook,0100.01,06109450100.01
5370100.02,3525005,Hamilton,0610,Hamilton,945,Glanbrook,0100.02,06109450100.02
5370101.01,3525005,Hamilton,0610,Hamilton,945,Glanbrook,0101.01,06109450101.01
5370101.02,3525005,Hamilton,0610,Hamilton,945,Glanbrook,0101.02,06109450101.02
5370120.02,3525005,Hamilton,0610,Hamilton,910,Ancaster,0120.02,06109100120.02
5370120.03,3525005,Hamilton,0610,Hamilton,910,Ancaster,0120.03,06109100120.03
5370120.04,3525005,Hamilton,0610,Hamilton,910,Ancaster,0120.04,06109100120.04
5370121.00,3525005,Hamilton,0610,Hamilton,910,Ancaster,0121.00,06109100121.00
5370122.01,3525005,Hamilton,0610,Hamilton,910,Ancaster,0122.01,06109100122.01
5370122.02,3525005,Hamilton,0610,Hamilton,910,Ancaster,0122.02,06109100122.02
5370123.00,3525005,Hamilton,0610,Hamilton,910,Ancaster,0123.00,06109100123.00
5370124.00,3525005,Hamilton,0610,Hamilton,910,Ancaster,0124.00,06109100124.00
5370130.02,3525005,Hamilton,0610,Hamilton,840,Dundas,0130.02,06108400130.02
5370130.03,3525005,Hamilton,0610,Hamilton,840,Dundas,0130.03,06108400130.03
5370131.00,3525005,Hamilton,0610,Hamilton,840,Dundas,0131.00,06108400131.00
5370132.00,3525005,Hamilton,0610,Hamilton,840,Dundas,0132.00,06108400132.00
5370133.01,3525005,Hamilton,0610,Hamilton,840,Dundas,0133.01,06108400133.01
5370133.02,3525005,Hamilton,0610,Hamilton,840,Dundas,0133.02,06108400133.02
5370140.02,3525005,Hamilton,0610,Hamilton,875,Flamborough,0140.02,06108750140.02
